Feb 25, 2019 12:49:14 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Feb 25, 2019 12:49:14 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/alpine/odl/lock
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Feb 25, 2019 12:49:15 PM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2019-02-25 12:49:16,297 | INFO  | 141-c4c42766bdc8 | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.command.acl.feature.cfg
2019-02-25 12:49:16,309 | INFO  | 141-c4c42766bdc8 | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.jaas.cfg
2019-02-25 12:49:16,313 | INFO  | 141-c4c42766bdc8 | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from jmx.acl.java.lang.Memory.cfg
2019-02-25 12:49:16,348 | INFO  | 141-c4c42766bdc8 | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from jmx.acl.org.apache.karaf.security.jmx.cfg
2019-02-25 12:49:16,351 | INFO  | 141-c4c42766bdc8 | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.ops4j.pax.url.mvn.cfg
2019-02-25 12:49:16,366 | INFO  | 141-c4c42766bdc8 | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.felix.eventadmin.impl.EventAdmin.cfg
2019-02-25 12:49:16,371 | INFO  | 141-c4c42766bdc8 | fileinstall                      | 4 - org.apache.felix.fileinstall - 3.6.0 | Creating configuration from org.apache.karaf.command.acl.bundle.cfg
2019-02-25 12:49:16,417 | INFO  | 141-c4c42766bdc8 | Main                             |  -  -  | Karaf started in 1s. Bundle stats: 10 active, 10 total
2019-02-25 12:49:20,349 | INFO  | pool-1-thread-2  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 | Adding features: standard/[4.0.10,4.0.10], wrap/[0,0.0.0]
2019-02-25 12:49:20,919 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 | Changes to perform:
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |   Region: root
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |     Bundles to install:
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:jline/jline/2.14.1
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.0.9
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.7.1
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2019-02-25 12:49:20,920 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.api/1.0.1
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.impl/1.0.5
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.quiesce/org.apache.aries.quiesce.api/1.0.0
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries/org.apache.aries.util/1.1.1
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.0.10
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.0.10
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.0.10
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.0.10
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.0.10
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.0.10
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.0.10
2019-02-25 12:49:20,921 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.boot/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.0.10
2019-02-25 12:49:20,922 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 6 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.0.10
